Year,January,February,March,April,May,June,July,August,September,October,November,December,
1871,0.5000,6.1000,7.3000,8.7000,11.3000,12.8000,15.2000,17.2000,12.7000,9.8000,3.4000,3.6000,
1872,5.0000,6.9000,6.8000,8.2000,9.7000,14.1000,17.1000,15.3000,13.2000,8.4000,7.0000,5.3000,
1873,5.2000,1.8000,5.4000,7.7000,9.9000,14.2000,16.2000,15.4000,11.8000,8.6000,6.3000,5.3000,
1874,5.5000,3.9000,6.7000,9.8000,10.0000,13.9000,17.3000,15.1000,13.6000,10.4000,5.6000,-0.2000,
1875,6.4000,2.3000,5.1000,8.6000,12.3000,14.2000,14.8000,16.1000,14.9000,8.9000,5.4000,4.2000,
1876,3.2000,4.8000,4.5000,7.9000,9.6000,14.3000,17.2000,16.5000,12.7000,11.3000,6.1000,6.0000,
1877,5.5000,6.2000,4.9000,7.0000,9.1000,15.2000,14.7000,15.2000,11.2000,9.3000,7.1000,4.7000,
1878,4.6000,5.6000,5.4000,8.9000,11.8000,15.1000,16.6000,16.2000,13.3000,10.2000,3.5000,-0.3000,
1879,-0.7000,3.1000,4.7000,5.7000,8.9000,12.9000,13.6000,14.5000,12.6000,8.9000,4.1000,0.7000,
1880,0.9000,5.8000,6.2000,7.9000,10.4000,13.8000,15.5000,16.4000,14.6000,7.1000,5.4000,5.1000,
1881,-1.5000,3.2000,5.3000,7.3000,11.8000,13.7000,16.2000,13.9000,12.7000,7.3000,8.9000,3.9000,
1882,5.2000,6.1000,7.4000,8.4000,11.5000,13.1000,15.2000,14.9000,12.1000,9.9000,5.7000,3.9000,
1883,4.7000,5.9000,1.8000,8.1000,10.6000,13.9000,14.5000,15.3000,13.3000,9.7000,5.8000,4.6000,
1884,6.5000,5.3000,6.5000,7.2000,11.3000,14.1000,16.3000,17.2000,14.5000,9.4000,5.3000,4.4000,
1885,2.9000,5.8000,4.5000,7.7000,8.9000,13.9000,16.3000,13.6000,12.2000,7.5000,5.9000,3.7000,
1886,2.1000,1.5000,4.2000,7.6000,10.3000,13.5000,15.9000,15.8000,13.6000,11.3000,6.6000,1.9000,
1887,2.4000,3.8000,3.3000,6.2000,9.4000,15.3000,17.3000,15.7000,11.8000,7.1000,4.4000,2.6000,
1888,3.2000,1.8000,3.1000,6.2000,10.7000,13.2000,13.7000,14.1000,12.2000,7.9000,7.7000,4.9000,
1889,3.4000,2.9000,4.7000,7.1000,12.9000,15.3000,15.3000,14.7000,12.8000,8.6000,6.9000,3.3000,
1890,5.7000,3.1000,6.2000,7.1000,11.7000,13.5000,14.5000,14.1000,14.6000,9.4000,5.7000,-0.8000,
1891,1.3000,3.9000,3.8000,6.2000,9.5000,14.7000,15.1000,14.1000,14.2000,9.4000,5.6000,4.1000,
1892,2.3000,3.6000,2.7000,7.3000,11.6000,13.4000,14.3000,15.2000,12.4000,7.1000,6.4000,1.8000,
1893,2.2000,4.7000,7.2000,10.3000,13.1000,15.6000,16.4000,17.4000,12.9000,9.9000,5.2000,4.8000,
1894,3.4000,5.1000,6.7000,9.7000,9.2000,13.5000,15.9000,14.2000,11.6000,9.3000,7.9000,5.1000,
1895,0.2000,-1.8000,5.1000,8.2000,12.4000,14.8000,15.2000,15.8000,15.4000,7.1000,7.5000,3.9000,
1896,4.8000,4.6000,6.7000,9.1000,11.9000,16.2000,16.2000,14.3000,13.1000,6.9000,4.3000,3.9000,
1897,1.6000,5.8000,6.5000,7.1000,10.0000,15.1000,16.5000,16.2000,12.1000,9.9000,7.6000,4.7000,
1898,6.6000,4.8000,4.3000,8.5000,10.2000,13.6000,15.3000,16.5000,15.2000,11.3000,7.2000,7.3000,
1899,4.9000,5.1000,5.1000,7.8000,9.9000,15.7000,17.3000,17.8000,13.2000,8.8000,8.5000,2.2000,
1900,4.4000,2.6000,3.7000,8.3000,10.3000,14.7000,17.7000,15.1000,13.6000,9.8000,7.3000,7.2000,
1901,3.5000,2.3000,4.1000,8.6000,11.5000,13.9000,18.0000,15.6000,13.9000,9.7000,4.8000,3.4000,
1902,4.7000,1.5000,6.7000,7.5000,8.9000,13.9000,14.7000,14.3000,12.8000,9.6000,6.8000,4.6000,
1903,4.2000,7.1000,7.1000,6.4000,11.1000,13.0000,15.3000,14.3000,13.1000,10.5000,6.4000,3.3000,
1904,4.1000,3.4000,4.3000,8.7000,10.9000,13.3000,17.1000,15.1000,12.5000,9.7000,5.2000,3.7000,
1905,3.6000,5.2000,6.8000,7.3000,10.8000,14.7000,17.2000,14.7000,12.4000,7.1000,4.9000,4.9000,
1906,5.3000,3.1000,5.1000,7.3000,10.5000,14.3000,15.8000,16.7000,13.9000,10.9000,7.3000,3.0000,
1907,3.6000,2.8000,6.3000,7.6000,10.5000,12.4000,14.1000,14.3000,13.6000,9.8000,6.5000,4.6000,
1908,2.5000,5.3000,4.3000,6.0000,12.4000,14.3000,15.8000,14.6000,12.9000,12.9000,7.4000,3.9000,
1909,3.5000,2.9000,3.7000,8.7000,11.0000,11.8000,14.6000,15.4000,11.9000,10.4000,4.8000,3.9000,
1910,3.5000,5.1000,5.6000,7.3000,11.2000,14.7000,14.2000,15.2000,12.5000,10.6000,3.2000,6.4000,
1911,3.8000,4.8000,5.2000,7.5000,12.9000,14.5000,18.2000,18.2000,13.9000,9.3000,6.1000,6.2000,
1912,3.6000,5.4000,7.2000,8.8000,12.1000,13.9000,16.1000,12.9000,11.1000,8.2000,6.3000,6.7000,
1913,4.5000,4.8000,6.2000,7.9000,11.4000,14.3000,14.6000,15.2000,14.1000,10.9000,8.4000,5.1000,
1914,3.7000,6.8000,6.1000,9.8000,10.8000,14.5000,15.8000,16.1000,13.3000,10.3000,6.8000,4.6000,
1915,4.1000,4.3000,5.2000,7.9000,10.8000,14.4000,14.6000,15.3000,13.4000,9.1000,2.8000,5.3000,
1916,7.5000,3.8000,3.3000,8.2000,11.6000,11.8000,15.3000,16.4000,13.0000,10.6000,6.8000,1.9000,
1917,1.6000,0.9000,3.2000,5.4000,12.8000,15.2000,16.1000,15.3000,14.0000,7.5000,7.8000,2.3000,
1918,3.8000,6.5000,5.7000,6.7000,13.0000,13.3000,15.4000,16.1000,11.9000,9.3000,5.5000,6.9000,
1919,2.9000,1.9000,3.6000,7.1000,13.5000,14.3000,13.9000,15.7000,12.7000,7.4000,3.3000,5.5000,
1920,5.2000,6.0000,7.2000,8.2000,11.8000,14.4000,14.1000,13.6000,13.0000,10.4000,6.8000,4.2000,
1921,7.3000,4.8000,7.4000,8.0000,11.5000,14.7000,18.5000,15.4000,14.1000,12.8000,4.6000,6.5000,
1922,3.7000,4.4000,4.6000,5.5000,12.7000,13.8000,13.7000,13.6000,12.2000,8.2000,5.9000,5.8000,
1923,5.6000,5.6000,6.5000,7.6000,9.2000,12.5000,17.5000,15.2000,12.5000,9.7000,3.3000,3.8000,
1924,4.7000,3.3000,4.1000,6.9000,11.6000,13.9000,15.3000,14.1000,13.3000,10.1000,7.1000,6.8000,
1925,5.3000,5.2000,4.9000,7.5000,11.6000,15.0000,16.8000,15.4000,11.5000,10.4000,3.6000,2.8000,
1926,4.6000,6.8000,6.3000,9.3000,10.2000,13.6000,17.1000,16.2000,14.4000,8.1000,5.9000,4.2000,
1927,4.6000,3.9000,7.3000,7.9000,11.2000,12.6000,15.9000,15.7000,12.5000,10.5000,6.2000,2.1000,
1928,5.2000,5.8000,6.3000,8.5000,10.9000,12.9000,16.1000,15.3000,12.8000,10.1000,7.6000,3.4000,
1929,1.3000,0.4000,6.2000,6.8000,11.3000,13.3000,16.0000,15.4000,15.3000,9.6000,6.7000,5.8000,
1930,5.6000,2.5000,5.3000,8.3000,10.7000,15.3000,15.2000,15.7000,13.6000,10.5000,6.2000,4.3000,
1931,3.2000,3.9000,4.2000,7.7000,11.4000,14.4000,15.3000,14.4000,11.5000,8.8000,7.8000,5.3000,
1932,6.3000,2.9000,4.7000,6.9000,10.5000,14.1000,16.1000,17.1000,12.9000,8.8000,6.6000,5.7000,
1933,2.2000,4.3000,7.3000,8.8000,12.2000,15.6000,17.8000,17.6000,14.9000,10.1000,5.6000,1.6000,
1934,4.1000,3.8000,4.8000,8.0000,11.3000,14.9000,18.2000,15.4000,14.6000,10.6000,6.1000,8.1000,
1935,4.5000,5.8000,6.6000,8.2000,9.9000,15.1000,17.1000,16.6000,13.6000,9.5000,6.9000,2.8000,
1936,3.7000,2.6000,7.1000,6.3000,11.5000,14.7000,15.3000,16.1000,14.4000,9.4000,5.5000,5.3000,
1937,5.2000,5.6000,3.6000,9.2000,12.2000,14.1000,16.1000,16.9000,13.4000,10.4000,5.1000,3.0000,
1938,5.7000,5.1000,9.1000,7.6000,10.7000,14.4000,15.2000,16.3000,13.8000,10.5000,9.4000,4.4000,
1939,4.2000,5.6000,5.8000,8.8000,11.4000,14.2000,15.5000,16.4000,14.2000,8.2000,8.7000,3.2000,
1940,-1.4000,2.6000,6.0000,8.7000,12.5000,16.4000,15.1000,15.6000,12.8000,9.6000,6.9000,3.8000,
1941,0.5000,3.5000,5.1000,6.4000,9.4000,15.1000,17.3000,14.7000,14.5000,10.4000,6.6000,5.6000,
1942,0.9000,0.1000,5.2000,9.2000,11.1000,14.4000,15.5000,16.6000,13.6000,10.4000,4.9000,6.7000,
1943,4.9000,6.1000,6.5000,10.5000,11.8000,14.4000,16.4000,16.1000,13.3000,10.6000,6.3000,3.5000,
1944,5.8000,3.6000,5.2000,10.2000,11.4000,13.5000,16.5000,17.0000,12.5000,9.3000,6.2000,3.6000,
1945,0.4000,7.1000,7.9000,10.1000,12.2000,14.6000,16.7000,15.9000,14.4000,11.9000,7.2000,4.9000,
1946,2.7000,5.9000,5.1000,9.9000,10.7000,13.1000,16.3000,14.7000,14.0000,9.8000,8.1000,3.1000,
1947,2.2000,-1.9000,3.6000,8.6000,13.5000,15.5000,17.0000,18.6000,14.9000,10.6000,7.2000,5.1000,
1948,5.4000,4.7000,8.3000,9.0000,11.4000,13.5000,15.8000,15.1000,13.8000,10.1000,7.3000,5.7000,
1949,5.5000,5.7000,5.1000,10.0000,11.2000,15.3000,17.4000,16.8000,16.3000,11.7000,6.6000,5.8000,
1950,4.2000,5.3000,7.4000,7.6000,11.3000,16.2000,15.9000,15.6000,12.9000,9.6000,5.7000,1.2000,
1951,3.9000,3.7000,4.1000,6.8000,10.1000,14.0000,16.3000,14.8000,14.1000,9.4000,8.5000,5.5000,
1952,2.7000,3.4000,6.6000,9.6000,13.4000,14.4000,16.8000,15.8000,10.7000,8.8000,4.1000,2.8000,
1953,3.3000,4.3000,5.6000,7.3000,12.6000,14.4000,15.5000,16.2000,13.8000,9.7000,8.5000,6.9000,
1954,2.9000,2.6000,5.8000,7.6000,11.2000,13.4000,14.2000,14.6000,12.7000,11.9000,6.9000,6.8000,
1955,2.6000,1.2000,3.2000,9.3000,9.7000,13.8000,17.7000,18.1000,14.2000,9.2000,7.0000,5.4000,
1956,3.6000,-0.2000,6.2000,6.9000,11.7000,13.1000,15.8000,13.5000,14.3000,9.4000,6.0000,5.7000,
1957,5.5000,5.3000,9.2000,8.9000,10.3000,15.2000,16.3000,15.4000,12.5000,10.8000,6.4000,4.5000,
1958,3.4000,4.7000,3.7000,7.4000,11.1000,14.1000,15.9000,15.8000,15.1000,10.8000,6.4000,4.7000,
1959,1.6000,4.4000,7.3000,9.4000,12.8000,15.2000,17.3000,17.2000,14.9000,12.6000,7.1000,6.0000,
1960,3.8000,4.1000,6.4000,8.9000,12.8000,16.1000,15.1000,15.0000,13.1000,10.3000,7.3000,3.9000,
1961,3.9000,6.9000,8.2000,10.0000,11.0000,14.4000,15.2000,15.4000,15.2000,10.9000,6.0000,2.2000,
1962,4.3000,4.4000,2.8000,7.7000,10.3000,13.7000,15.1000,14.5000,12.6000,10.4000,5.5000,1.8000,
1963,-2.1000,-0.7000,6.0000,8.7000,10.6000,14.9000,15.2000,14.3000,12.9000,11.1000,8.2000,2.6000,
1964,3.4000,4.5000,4.3000,8.7000,13.3000,13.8000,16.1000,15.5000,14.1000,8.9000,7.4000,3.6000,
1965,3.3000,3.1000,5.2000,8.0000,11.7000,14.7000,14.0000,14.9000,12.3000,11.0000,4.5000,4.7000,
1966,2.9000,5.7000,6.5000,7.2000,11.0000,15.4000,15.0000,14.7000,13.8000,10.1000,5.6000,5.5000,
1967,4.5000,5.4000,7.0000,7.7000,10.4000,14.0000,16.7000,15.7000,13.5000,10.8000,5.4000,4.2000,
1968,4.4000,1.9000,6.3000,8.1000,9.8000,14.8000,15.0000,15.4000,13.9000,12.5000,6.5000,3.0000,
1969,5.5000,1.0000,3.3000,7.4000,11.2000,13.9000,16.8000,16.4000,13.9000,13.0000,5.4000,3.3000,
1970,4.0000,3.2000,4.0000,6.8000,12.7000,16.1000,15.4000,16.1000,14.5000,10.9000,7.9000,4.5000,
1971,4.7000,5.0000,5.4000,7.8000,11.5000,12.5000,16.9000,15.6000,14.3000,11.6000,6.4000,7.1000,
1972,4.2000,4.6000,6.5000,8.6000,10.6000,11.9000,15.5000,15.2000,11.9000,10.7000,6.4000,5.8000,
1973,4.7000,4.7000,6.5000,7.2000,11.3000,14.9000,15.7000,16.5000,14.3000,9.4000,6.2000,5.1000,
1974,6.1000,5.8000,5.8000,8.0000,10.9000,13.7000,15.1000,15.2000,12.1000,7.9000,6.7000,8.0000,
1975,6.7000,4.7000,5.0000,8.3000,9.7000,14.5000,17.2000,18.2000,13.4000,10.2000,6.3000,5.3000,
1976,5.9000,4.8000,5.0000,8.0000,11.8000,16.7000,18.3000,17.3000,13.4000,10.7000,6.2000,2.2000,
1977,3.0000,5.1000,7.0000,7.3000,10.4000,12.4000,15.9000,15.3000,13.1000,11.7000,6.4000,6.2000,
1978,3.4000,3.6000,6.8000,6.4000,11.3000,13.6000,14.7000,14.9000,14.0000,11.9000,8.6000,4.3000,
1979,0.5000,1.4000,4.8000,7.6000,9.7000,14.1000,16.2000,14.9000,13.2000,11.2000,7.0000,5.5000,
1980,2.4000,6.0000,4.9000,8.7000,11.0000,13.8000,14.5000,15.7000,14.6000,9.0000,6.6000,5.8000,
1981,4.8000,3.3000,6.6000,7.8000,10.5000,13.3000,15.6000,16.2000,14.6000,7.6000,7.7000,0.8000,
1982,2.8000,4.8000,5.8000,8.2000,11.1000,11.2000,16.2000,15.4000,13.8000,9.8000,7.4000,4.1000,
1983,6.2000,1.9000,6.1000,6.3000,9.6000,13.6000,18.4000,16.8000,13.2000,10.0000,7.3000,5.5000,
1984,3.3000,3.5000,4.5000,7.7000,9.5000,13.9000,16.2000,17.0000,13.2000,10.7000,7.7000,5.0000,
1985,1.0000,2.5000,4.4000,8.0000,10.4000,12.2000,15.6000,14.2000,14.1000,10.7000,4.0000,6.1000,
1986,3.2000,-0.5000,4.9000,5.4000,10.6000,14.1000,15.4000,13.2000,11.0000,10.6000,7.3000,5.8000,
1987,1.1000,3.7000,4.1000,9.4000,9.7000,12.2000,15.5000,15.2000,13.3000,9.3000,6.4000,4.7000,
1988,4.9000,4.5000,5.8000,7.8000,11.2000,14.0000,14.4000,14.9000,13.2000,9.4000,5.3000,7.1000,
1989,6.1000,5.8000,7.0000,6.1000,12.5000,14.0000,17.4000,16.1000,14.1000,11.5000,6.4000,4.5000,
1990,6.3000,7.0000,8.0000,7.7000,12.1000,13.3000,16.3000,17.6000,13.1000,12.0000,7.2000,5.1000,
1991,3.7000,2.4000,7.8000,8.0000,11.0000,12.2000,17.1000,17.0000,14.7000,10.3000,7.0000,5.0000,
1992,4.0000,5.9000,7.4000,8.6000,13.1000,15.5000,16.1000,15.3000,13.2000,7.8000,7.5000,4.1000,
1993,6.0000,5.4000,6.6000,9.3000,11.2000,14.4000,15.1000,14.4000,12.5000,8.5000,5.0000,5.3000,
1994,5.2000,3.5000,7.6000,8.1000,10.4000,14.3000,17.6000,15.9000,12.7000,10.2000,10.1000,6.4000,
1995,4.9000,6.7000,5.6000,8.9000,11.6000,14.0000,18.4000,18.9000,13.8000,13.2000,8.1000,2.8000,
1996,4.8000,3.1000,4.6000,8.7000,9.3000,14.4000,16.4000,16.6617,13.6820,11.8300,6.1566,3.4900,
1997,2.9000,6.8834,8.3700,9.1030,11.5349,13.9606,16.9345,18.6019,14.4570,10.4577,8.9301,6.1434,
1998,5.4681,7.7498,8.0340,7.8395,12.8956,14.1344,15.4779,15.9444,14.7964,10.6034,7.2509,5.8818,
1999,5.8053,5.5578,7.4179,9.4185,12.7920,13.7116,17.4823,16.2992,15.7331,10.9667,8.0768,4.9900,
2000,5.5000,6.4474,7.5416,7.9014,12.0564,14.6646,15.2000,16.7400,15.9000,10.5446,7.1395,5.8130,
2001,3.9000,4.8000,5.4521,7.8069,12.4385,13.9840,16.7043,16.7369,14.0512,13.5561,7.9218,4.1054,
2002,6.0936,7.2432,7.6271,9.3587,11.9221,14.3157,15.8921,16.9699,14.4915,10.2775,8.7937,5.9577,
2003,4.8622,4.4552,7.8191,9.8975,12.0850,15.9308,17.4871,18.0128,14.3423,9.0000,8.3604,5.0322,
2004,5.4868,5.5967,6.6433,9.5506,12.1027,15.3082,15.6997,17.3876,14.7719,10.5806,8.0215,5.7374,
2005,6.3605,4.5189,7.2435,8.8338,11.2134,15.3515,16.6088,16.0876,15.0281,13.0220,6.4391,4.8209,
2006,4.5208,4.1679,4.9590,8.4928,11.8323,15.7510,19.2605,16.1777,16.3991,12.7779,8.0778,6.3858,
2007,6.9166,6.0492,7.1198,11.1674,11.8737,14.9367,15.2491,15.5448,13.8504,10.9970,7.5381,4.9970,
2008,6.3733,5.3641,6.0956,7.9447,13.0365,14.0283,16.2585,16.2181,13.5366,9.7527,6.9775,3.7200,
2009,3.2990,4.3562,6.9285,9.7062,11.9428,14.7657,16.1709,16.5561,14.1854,11.4833,8.4215,3.0854,
2010,1.4950,2.7502,6.0979,8.8770,10.7913,15.2779,17.0154,15.3494,13.9584,10.3980,5.3790,-0.2702,
2011,3.8560,6.3466,6.7611,11.6660,12.2552,14.0192,15.3126,15.4347,15.1030,12.3812,9.5318,5.9212,
2012,5.4687,4.3886,8.4539,7.3394,11.5922,13.5878,15.3892,16.6312,13.1809,9.5118,6.6510,4.8353,
2013,3.9256,3.3814,2.9527,7.4102,10.5518,13.9472,18.2353,16.9161,13.8991,12.4718,6.3697,6.3963,
2014,5.6494,6.2705,7.5602,10.1110,12.2588,15.2204,17.5955,15.2271,14.8956,12.3177,8.4129,5.4869,
2015,4.7772,4.2898,6.3313,9.0863,10.8636,14.0067,15.7212,15.9230,12.7467,10.8810,9.4926,9.5079,
2016,5.6815,5.0745,6.1063,7.5040,12.1651,14.8613,16.7041,16.8611,15.7875,10.8790,5.8442,6.4666,
2017,4.3283,6.2211,8.4882,9.0173,13.0069,15.9091,16.4650,15.6394,13.5084,12.3372,6.9952,5.0512,
2018,5.2507,3.0866,4.8906,9.5444,12.9392,15.9453,18.7014,16.7405,13.7974,10.7076,8.2327,6.8140,
2019,4.2364,6.8850,7.9187,9.0707,11.2120,14.3494,17.6003,17.0747,14.2879,10.1337,6.4571,6.0425,
,,,,,,,,,,,,,
